Fecha,Servicio,Instalacion,Usos
"2008-04-01","Piscinas","Piscina La Calzada Control","4742"
"2008-04-01","Piscinas","Piscina Llano Control","6198"
"2008-04-01","Piscinas","Piscina Moreda Control","4928"
"2008-04-01","Piscinas","Piscina Panchano Control","3127"
"2008-04-01","Piscinas","Piscina Pumarin Control","5650"
"2008-04-01","Préstamos bibliotecas","Adultos","25246"
"2008-04-01","Préstamos bibliotecas","Infantiles","4850"
"2008-04-01","Reserva de instalaciones","Antigua Pescadería","93"
"2008-04-01","Reserva de instalaciones","Casa Consistorial","31"
"2008-04-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","493"
"2008-04-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1782"
"2008-04-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","6"
"2008-04-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","993"
"2008-04-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","1538"
"2008-04-01","Reserva de instalaciones","Gimnasios de El Molinón","9"
"2008-04-01","Reserva de instalaciones","Pabellón de Deportes La Arena","181"
"2008-04-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","212"
"2008-04-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","83"
"2008-04-01","Reserva de instalaciones","Palacio de Deportes","750"
"2008-04-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","250"
"2008-04-01","Reserva de instalaciones","Piscina Municipal El Coto","865"
"2008-04-01","Reserva de instalaciones","Piscina Municipal El Llano","802"
"2008-04-01","Transporte","Tarjeta Turística","35"
"2008-04-01","Transporte","TC-Abono Anual","11019"
"2008-04-01","Transporte","TC-Abono Mes","122955"
"2008-04-01","Transporte","TC-Abono Mes Mayores de 65","14017"
"2008-04-01","Transporte","TC-Abono Mes Menores de 26","62207"
"2008-04-01","Transporte","TC-Abono Semestral","9436"
"2008-04-01","Transporte","TC-Tarifa Empleado","2966"
"2008-04-01","Transporte","TC-Tarifa Empleado Emtusa","480"
"2008-04-01","Transporte","TC-Tarifa Familiar Emtusa","9829"
"2008-04-01","Transporte","TC-Tarifa Gratuita","25863"
"2008-04-01","Transporte","TC-Tarifa IES","3448"
"2008-04-01","Transporte","TC-Tarifa JOP","979"
"2008-04-01","Transporte","TC-Tarifa Mayores de 65","148039"
"2008-04-01","Transporte","TC-Tarifa Menores de 13","51318"
"2008-04-01","Transporte","TC-Tarifa Menores de 26","116643"
"2008-04-01","Transporte","TC-Tarifa Normal","293223"
"2008-04-01","Transporte","TC-Tarifa Reducida","24879"
"2008-04-01","Transporte","TT-Tarifa Normal","288418"
"2008-05-01","Bibliotecas Principado","Jovellanos Infantil","261"
"2008-05-01","Cimadevilla Centro Control","Campo Valdés","378"
"2008-05-01","Cimadevilla Centro Control","Fermín García Bernardo","328"
"2008-05-01","Cimadevilla con Tarjeta","Campo Valdés","2608"
"2008-05-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2692"
"2008-05-01","Cimadevilla Taxi","Campo Valdés","479"
"2008-05-01","Cimadevilla Taxi","Fermín García Bernardo","418"
"2008-05-01","Gijón Bici","Gijón Bici","3190"
"2008-05-01","Instalaciones Deportivas","Instalaciones Deportivas","6486"
"2008-05-01","Mediatecas","Adultos","10002"
"2008-05-01","Mediatecas","Infantiles","650"
"2008-05-01","OIJ","Oficina Informacion Juvenil","887"
"2008-05-01","ORA","ORA","19357"
"2008-05-01","Piscinas","Piscina Coto Control","6613"
"2008-05-01","Piscinas","Piscina La Calzada Control","3820"
"2008-05-01","Piscinas","Piscina Llano Control","7432"
"2008-05-01","Piscinas","Piscina Moreda Control","3961"
"2008-05-01","Piscinas","Piscina Panchano Control","2990"
"2008-05-01","Piscinas","Piscina Pumarin Control","4714"
"2008-05-01","Préstamos bibliotecas","Adultos","22627"
"2008-05-01","Préstamos bibliotecas","Infantiles","4126"
"2008-05-01","Reserva de instalaciones","Antigua Pescadería","126"
"2008-05-01","Reserva de instalaciones","Casa Consistorial","28"
"2008-05-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","487"
"2008-05-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1778"
"2008-05-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","419"
"2008-05-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","1062"
"2008-05-01","Reserva de instalaciones","Gimnasios de El Molinón","12"
"2008-05-01","Reserva de instalaciones","Pabellón de Deportes La Arena","182"
"2008-05-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","196"
"2008-05-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","83"
"2008-05-01","Reserva de instalaciones","Palacio de Deportes","318"
"2008-05-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","227"
"2008-05-01","Reserva de instalaciones","Piscina Municipal El Coto","727"
"2008-05-01","Reserva de instalaciones","Piscina Municipal El Llano","841"
"2008-05-01","Transporte","Tarjeta Turística","33"
"2008-05-01","Transporte","TC-Abono Anual","10734"
"2008-05-01","Transporte","TC-Abono Mes","120966"
"2008-05-01","Transporte","TC-Abono Mes Mayores de 65","14566"
"2008-05-01","Transporte","TC-Abono Mes Menores de 26","58144"
"2008-05-01","Transporte","TC-Abono Semestral","9055"
"2008-05-01","Transporte","TC-Tarifa Empleado","2934"
"2008-05-01","Transporte","TC-Tarifa Empleado Emtusa","442"
"2008-05-01","Transporte","TC-Tarifa Familiar Emtusa","10269"
"2008-05-01","Transporte","TC-Tarifa Gratuita","25949"
"2008-05-01","Transporte","TC-Tarifa IES","3339"
"2008-05-01","Transporte","TC-Tarifa JOP","967"
"2008-05-01","Transporte","TC-Tarifa Mayores de 65","151116"
"2008-05-01","Transporte","TC-Tarifa Menores de 13","50331"
"2008-05-01","Transporte","TC-Tarifa Menores de 26","110760"
"2008-05-01","Transporte","TC-Tarifa Normal","288958"
"2008-05-01","Transporte","TC-Tarifa Reducida","26105"
"2008-05-01","Transporte","TT-Tarifa Normal","278634"
"2008-06-01","Cimadevilla Centro Control","Campo Valdés","416"
"2008-06-01","Cimadevilla Centro Control","Fermín García Bernardo","316"
"2008-06-01","Cimadevilla con Tarjeta","Campo Valdés","2124"
"2008-06-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2468"
"2008-06-01","Cimadevilla Taxi","Campo Valdés","415"
"2008-06-01","Cimadevilla Taxi","Fermín García Bernardo","396"
"2008-06-01","Gijón Bici","Gijón Bici","3816"
"2008-06-01","Instalaciones Deportivas","Instalaciones Deportivas","7708"
"2008-06-01","Mediatecas","Adultos","9168"
"2008-06-01","Mediatecas","Infantiles","623"
"2008-06-01","OIJ","Oficina Informacion Juvenil","350"
"2008-06-01","ORA","ORA","19357"
"2008-06-01","Piscinas","Piscina Coto Control","5967"
"2008-06-01","Piscinas","Piscina La Calzada Control","3361"
"2008-06-01","Piscinas","Piscina Llano Control","6319"
"2008-06-01","Piscinas","Piscina Moreda Control","3903"
"2008-06-01","Piscinas","Piscina Panchano Control","2702"
"2008-06-01","Piscinas","Piscina Pumarin Control","4518"
"2008-06-01","Préstamos bibliotecas","Adultos","19287"
"2008-06-01","Préstamos bibliotecas","Infantiles","3775"
"2008-06-01","Reserva de instalaciones","Antigua Pescadería","64"
"2008-06-01","Reserva de instalaciones","Casa Consistorial","27"
"2008-06-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","621"
"2008-06-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1657"
"2008-06-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","4"
"2008-06-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","822"
"2008-06-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","1047"
"2008-06-01","Reserva de instalaciones","Gimnasios de El Molinón","12"
"2008-06-01","Reserva de instalaciones","Pabellón de Deportes La Arena","153"
"2008-06-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","123"
"2008-06-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","65"
"2008-06-01","Reserva de instalaciones","Palacio de Deportes","1435"
"2008-06-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","216"
"2008-06-01","Reserva de instalaciones","Piscina Municipal El Coto","811"
"2008-06-01","Reserva de instalaciones","Piscina Municipal El Llano","651"
"2008-06-01","Transporte","Tarjeta Turística","108"
"2008-06-01","Transporte","TC-Abono Anual","10815"
"2008-06-01","Transporte","TC-Abono Mes","110530"
"2008-06-01","Transporte","TC-Abono Mes Mayores de 65","14356"
"2008-06-01","Transporte","TC-Abono Mes Menores de 26","39506"
"2008-06-01","Transporte","TC-Abono Semestral","8280"
"2008-06-01","Transporte","TC-Tarifa Empleado","2844"
